"dataset","model","seed","train_acc","val_acc","test_acc","metric_name","train_metric","val_metric","test_metric","train_loss","val_loss","test_loss","best_epoch","elapsed_sec","train_roc_auc","val_roc_auc","test_roc_auc","meta_dataset_type","meta_source","meta_split_id","meta_make_undirected","meta_num_nodes","meta_num_edges","meta_edge_homophily","filter_weights","diag_gate_mean","diag_gate_std","diag_gate_q25","diag_gate_median","diag_gate_q75","diag_gate_gt_0_5","diag_gate_min","diag_gate_max","diag_gate_features","diag_ego_norm","diag_residual_norm"
"minesweeper","harp","0","0.8941055","0.867688","0.870195","roc_auc","0.8941055","0.867688","0.870195","0.3049674332141876","0.3354562819004059","0.33339905738830566","246","57.69490456581116","0.8941055","0.867688","0.870195","heterophilous_graphs","minesweeper","0","True","10000","39402","0.682782599868027","{'low': [0.07032801955938339, 0.8812306523323059, 0.025726832449436188, 0.02271454967558384], 'high': [0.8787285089492798, 0.04699909687042236, 0.0742722675204277]}","0.4161064326763153","0.06442270427942276","0.3736079931259155","0.4294563829898834","0.47501569986343384","0.015625","0.27689865231513977","0.530589759349823","64.0","",""
"minesweeper","harp_esep","0","0.90432625","0.881828","0.892638","roc_auc","0.90432625","0.881828","0.892638","0.32313042879104614","0.33742567896842957","0.33123621344566345","160","43.118643283843994","0.90432625","0.881828","0.892638","heterophilous_graphs","minesweeper","0","True","10000","39402","0.682782599868027","{'low': [0.1056024357676506, 0.7348014712333679, 0.15959613025188446], 'high': [0.09685704857110977, 0.9031428694725037]}","0.5013518929481506","0.11285940557718277","0.4408131241798401","0.5012071132659912","0.5778270959854126","0.5045515894889832","0.1579436957836151","0.8154470324516296","64.0","1.7157294750213623","0.6819936633110046"
"minesweeper","harp","1","0.883597","0.877292","0.886503","roc_auc","0.883597","0.877292","0.886503","0.3149831295013428","0.3230975866317749","0.3162442147731781","234","59.69688582420349","0.883597","0.877292","0.886503","heterophilous_graphs","minesweeper","1","True","10000","39402","0.682782599868027","{'low': [0.08793549239635468, 0.848357081413269, 0.03326977416872978, 0.030437644571065903], 'high': [0.8770735859870911, 0.047908175736665726, 0.07501821964979172]}","0.41254356503486633","0.06413937360048294","0.3558656871318817","0.4420258402824402","0.4728938937187195","0.0","0.2834602892398834","0.4772477149963379","64.0","",""
"minesweeper","harp_esep","1","0.8926735","0.893418","0.898894","roc_auc","0.8926735","0.893418","0.898894","0.33418187499046326","0.3351719081401825","0.3314799666404724","206","48.30537247657776","0.8926735","0.893418","0.898894","heterophilous_graphs","minesweeper","1","True","10000","39402","0.682782599868027","{'low': [0.10081683844327927, 0.7129701375961304, 0.18621297180652618], 'high': [0.08672964572906494, 0.9132702946662903]}","0.49022939801216125","0.10786917805671692","0.43620312213897705","0.49084874987602234","0.53950035572052","0.362290620803833","0.1912171095609665","0.8375739455223083","64.0","1.4976123571395874","0.6443946361541748"
"minesweeper","harp","2","0.89478925","0.876015","0.878802","roc_auc","0.89478925","0.876015","0.878802","0.3032514750957489","0.32331469655036926","0.3202986717224121","233","59.10307455062866","0.89478925","0.876015","0.878802","heterophilous_graphs","minesweeper","2","True","10000","39402","0.682782599868027","{'low': [0.10063295811414719, 0.7824273109436035, 0.06158512085676193, 0.05535467341542244], 'high': [0.8129734396934509, 0.0739220380783081, 0.11310455948114395]}","0.41753387451171875","0.061713963747024536","0.38402700424194336","0.4460861086845398","0.47151562571525574","0.0","0.2528942823410034","0.4725351929664612","64.0","",""
"minesweeper","harp_esep","2","0.89656175","0.894676","0.894206","roc_auc","0.89656175","0.894676","0.894206","0.331074595451355","0.3337704837322235","0.33335986733436584","235","48.21166229248047","0.89656175","0.894676","0.894206","heterophilous_graphs","minesweeper","2","True","10000","39402","0.682782599868027","{'low': [0.08235479891300201, 0.7506117224693298, 0.16703347861766815], 'high': [0.07253064960241318, 0.9274693727493286]}","0.511890172958374","0.08506734669208527","0.48238611221313477","0.5097980499267578","0.5423493385314941","0.5683359503746033","0.25654706358909607","0.81353360414505","64.0","1.373317003250122","0.5286536812782288"
"minesweeper","harp","3","0.88956825","0.867848","0.878969","roc_auc","0.88956825","0.867848","0.878969","0.3108464181423187","0.3363574743270874","0.322208970785141","244","58.58037233352661","0.88956825","0.867848","0.878969","heterophilous_graphs","minesweeper","3","True","10000","39402","0.682782599868027","{'low': [0.07996261119842529, 0.8729932904243469, 0.024490414187312126, 0.02255367673933506], 'high': [0.8856408596038818, 0.04306871071457863, 0.07129040360450745]}","0.40635278820991516","0.06721431016921997","0.36710670590400696","0.4209764897823334","0.47221308946609497","0.00037343750591389835","0.2392827421426773","0.5058967471122742","64.0","",""
"minesweeper","harp_esep","3","0.899723","0.8826425","0.894495","roc_auc","0.899723","0.8826425","0.894495","0.3313755989074707","0.34350162744522095","0.33560889959335327","156","41.70480513572693","0.899723","0.8826425","0.894495","heterophilous_graphs","minesweeper","3","True","10000","39402","0.682782599868027","{'low': [0.114730104804039, 0.7073537707328796, 0.17791619896888733], 'high': [0.10376232862472534, 0.8962376713752747]}","0.48029252886772156","0.09803196787834167","0.4348890781402588","0.48483312129974365","0.531851053237915","0.39450469613075256","0.15921345353126526","0.7819181680679321","64.0","1.71223783493042","0.7857104539871216"
"minesweeper","harp","4","0.88100825","0.881328","0.876601","roc_auc","0.88100825","0.881328","0.876601","0.321269154548645","0.3187783658504486","0.32504549622535706","249","58.51287794113159","0.88100825","0.881328","0.876601","heterophilous_graphs","minesweeper","4","True","10000","39402","0.682782599868027","{'low': [0.071299247443676, 0.8817579746246338, 0.025342516601085663, 0.02160019800066948], 'high': [0.8829250931739807, 0.04690016061067581, 0.0701746791601181]}","0.41869568824768066","0.06871171295642853","0.3585140109062195","0.45092320442199707","0.477559894323349","0.0","0.25331825017929077","0.4848457872867584","64.0","",""
"minesweeper","harp_esep","4","0.89478775","0.890552","0.892046","roc_auc","0.89478775","0.890552","0.892046","0.3366597294807434","0.33738458156585693","0.3369254469871521","153","41.144864320755005","0.89478775","0.890552","0.892046","heterophilous_graphs","minesweeper","4","True","10000","39402","0.682782599868027","{'low': [0.11633355170488358, 0.7193889021873474, 0.16427743434906006], 'high': [0.10417696833610535, 0.895823061466217]}","0.49368035793304443","0.13218288123607635","0.43930935859680176","0.4791080355644226","0.5562757253646851","0.39410001039505005","0.14580050110816956","0.8752890229225159","64.0","1.883576512336731","0.7557162642478943"
"minesweeper","harp","5","0.88803575","0.87395","0.886776","roc_auc","0.88803575","0.87395","0.886776","0.3113744258880615","0.3264530897140503","0.3147743344306946","248","58.63303351402283","0.88803575","0.87395","0.886776","heterophilous_graphs","minesweeper","5","True","10000","39402","0.682782599868027","{'low': [0.08712837845087051, 0.8559675812721252, 0.029793867841362953, 0.027110200375318527], 'high': [0.8660385608673096, 0.05139508843421936, 0.08256638795137405]}","0.4246596693992615","0.06255926936864853","0.3831360936164856","0.44608646631240845","0.47696638107299805","0.0","0.2542242407798767","0.4833875000476837","64.0","",""
"minesweeper","harp_esep","5","0.895426875","0.887955","0.898333","roc_auc","0.895426875","0.887955","0.898333","0.3449510335922241","0.34910619258880615","0.34228968620300293","122","35.24592328071594","0.895426875","0.887955","0.898333","heterophilous_graphs","minesweeper","5","True","10000","39402","0.682782599868027","{'low': [0.1311734914779663, 0.7008209228515625, 0.16800557076931], 'high': [0.12407831847667694, 0.8759216666221619]}","0.5005550980567932","0.15355904400348663","0.4120698869228363","0.48895350098609924","0.5870901346206665","0.462848424911499","0.08433227986097336","0.8903917074203491","64.0","1.5046526193618774","0.587516188621521"
"minesweeper","harp","6","0.8784305","0.891354","0.868823","roc_auc","0.8784305","0.891354","0.868823","0.3221394717693329","0.3095252811908722","0.33314791321754456","241","58.62348675727844","0.8784305","0.891354","0.868823","heterophilous_graphs","minesweeper","6","True","10000","39402","0.682782599868027","{'low': [0.07831848412752151, 0.8652576208114624, 0.02978970855474472, 0.026634175330400467], 'high': [0.8774275183677673, 0.046763986349105835, 0.07580850273370743]}","0.4131840467453003","0.060868632048368454","0.36412250995635986","0.431723952293396","0.47146210074424744","0.0","0.27132415771484375","0.47785037755966187","64.0","",""
"minesweeper","harp_esep","6","0.888300375","0.907796","0.882479","roc_auc","0.888300375","0.907796","0.882479","0.34982582926750183","0.33644524216651917","0.3517705202102661","105","31.88525414466858","0.888300375","0.907796","0.882479","heterophilous_graphs","minesweeper","6","True","10000","39402","0.682782599868027","{'low': [0.1261928826570511, 0.7056633830070496, 0.16814374923706055], 'high': [0.1285511702299118, 0.871448814868927]}","0.4688776433467865","0.12874829769134521","0.3785719573497772","0.44912511110305786","0.5436234474182129","0.314453125","0.07364904880523682","0.827567458152771","64.0","2.1917550563812256","1.0529553890228271"
"minesweeper","harp","7","0.87783475","0.880688","0.892043","roc_auc","0.87783475","0.880688","0.892043","0.322803795337677","0.31949225068092346","0.31203603744506836","237","58.92802405357361","0.87783475","0.880688","0.892043","heterophilous_graphs","minesweeper","7","True","10000","39402","0.682782599868027","{'low': [0.07923419773578644, 0.8688068389892578, 0.027269015088677406, 0.024689875543117523], 'high': [0.8823676109313965, 0.044518522918224335, 0.0731138065457344]}","0.4042183458805084","0.06540623307228088","0.34148332476615906","0.42384663224220276","0.4657222032546997","0.0","0.2539292871952057","0.4823537766933441","64.0","",""
"minesweeper","harp_esep","7","0.8923875","0.898014","0.902222","roc_auc","0.8923875","0.898014","0.902222","0.3368855118751526","0.3320564925670624","0.33366602659225464","209","48.253010511398315","0.8923875","0.898014","0.902222","heterophilous_graphs","minesweeper","7","True","10000","39402","0.682782599868027","{'low': [0.09205828607082367, 0.7520026564598083, 0.15593907237052917], 'high': [0.08317704498767853, 0.9168229103088379]}","0.5304210782051086","0.12260610610246658","0.4742603302001953","0.5110293626785278","0.6176723837852478","0.5812484622001648","0.19748444855213165","0.7976495027542114","64.0","1.758468508720398","0.6985856890678406"
"minesweeper","harp","8","0.877622","0.878333","0.892107","roc_auc","0.877622","0.878333","0.892107","0.32173407077789307","0.3239549696445465","0.3122599720954895","230","58.66556429862976","0.877622","0.878333","0.892107","heterophilous_graphs","minesweeper","8","True","10000","39402","0.682782599868027","{'low': [0.07468902319669724, 0.8744093775749207, 0.02716970629990101, 0.02373194508254528], 'high': [0.877754807472229, 0.048175148665905, 0.07406996190547943]}","0.40050870180130005","0.06088871881365776","0.3519227206707001","0.4141313433647156","0.45823800563812256","0.0","0.23642359673976898","0.47195905447006226","64.0","",""
"minesweeper","harp_esep","8","0.88880425","0.898295","0.905453","roc_auc","0.88880425","0.898295","0.905453","0.34046295285224915","0.3360954821109772","0.335640013217926","136","37.9493145942688","0.88880425","0.898295","0.905453","heterophilous_graphs","minesweeper","8","True","10000","39402","0.682782599868027","{'low': [0.11100652813911438, 0.7155318260192871, 0.1734616458415985], 'high': [0.10017754882574081, 0.8998224139213562]}","0.4895405173301697","0.11841094493865967","0.43355709314346313","0.466197669506073","0.5674113035202026","0.40780624747276306","0.15233829617500305","0.8877038359642029","64.0","1.6337780952453613","0.7352339625358582"
"minesweeper","harp","9","0.88301825","0.873832","0.887588","roc_auc","0.88301825","0.873832","0.887588","0.3169187009334564","0.3260664939880371","0.3127703070640564","214","58.91056728363037","0.88301825","0.873832","0.887588","heterophilous_graphs","minesweeper","9","True","10000","39402","0.682782599868027","{'low': [0.09591018408536911, 0.8346636295318604, 0.037022627890110016, 0.032403506338596344], 'high': [0.8590720891952515, 0.05654575303196907, 0.08438213914632797]}","0.4014979302883148","0.05420785769820213","0.35960155725479126","0.409778356552124","0.45366278290748596","0.0","0.2743709981441498","0.46517619490623474","64.0","",""
"minesweeper","harp_esep","9","0.89416975","0.887627","0.902957","roc_auc","0.89416975","0.887627","0.902957","0.33872953057289124","0.3411771059036255","0.33186256885528564","112","33.22135782241821","0.89416975","0.887627","0.902957","heterophilous_graphs","minesweeper","9","True","10000","39402","0.682782599868027","{'low': [0.13027100265026093, 0.6923199892044067, 0.17740900814533234], 'high': [0.12441839277744293, 0.8755816221237183]}","0.46733394265174866","0.08805953711271286","0.41972535848617554","0.4551003575325012","0.5201780200004578","0.3016875088214874","0.16507770121097565","0.8468655347824097","64.0","1.842333197593689","0.8349918127059937"
