dataset,seed,val_size,selector_z,harp_val_acc,esep_val_acc,val_diff,val_diff_standard_error,selection_threshold,selected_model,selected_esep,harp_test_acc,esep_test_acc,test_acc,oracle_test_acc,oracle_regret
actor,0,2432,1.96,0.3811677694320678,0.3762335479259491,-0.004934221506118719,0.013909966110801262,0.02726353357717047,harp,False,0.3631578981876373,0.3690789341926574,0.3631578981876373,0.3690789341926574,0.005921036005020142
actor,1,2432,1.96,0.3634868562221527,0.368009865283966,0.004523009061813299,0.013811804369145654,0.027071136563525482,harp,False,0.3447368443012237,0.3460526168346405,0.3447368443012237,0.3460526168346405,0.0013157725334168036
actor,2,2432,1.96,0.3692434132099151,0.3774670958518982,0.008223682641983088,0.013870411794904051,0.02718600711801194,harp,False,0.3361842036247253,0.3703947365283966,0.3361842036247253,0.3703947365283966,0.03421053290367132
actor,3,2432,1.96,0.3585526347160339,0.375,0.01644736528396612,0.013818127319611018,0.027083529546437595,harp,False,0.3296052515506744,0.3486842215061188,0.3296052515506744,0.3486842215061188,0.01907896995544439
actor,4,2432,1.96,0.3589638173580169,0.3725329041481018,0.013569086790084894,0.013810586237105387,0.027068749024726557,harp,False,0.3355263173580169,0.3506578803062439,0.3355263173580169,0.3506578803062439,0.015131562948226984
actor,5,2432,1.96,0.3622532784938812,0.3852795958518982,0.023026317358016968,0.013870065943272534,0.027185329248814165,harp,False,0.3638157844543457,0.3592105209827423,0.3638157844543457,0.3638157844543457,0.0
actor,6,2432,1.96,0.3696545958518982,0.3712993562221527,0.0016447603702545166,0.013849018762573637,0.027144076774644327,harp,False,0.355921059846878,0.3401315808296203,0.355921059846878,0.355921059846878,0.0
actor,7,2432,1.96,0.3569079041481018,0.3638980388641357,0.00699013471603388,0.013767944455251696,0.026985171132293324,harp,False,0.3585526347160339,0.3605263233184814,0.3585526347160339,0.3605263233184814,0.0019736886024475098
actor,8,2432,1.96,0.3655427694320678,0.3630756437778473,-0.0024671256542205255,0.013800341067443801,0.02704866849218985,harp,False,0.3513157963752746,0.348026305437088,0.3513157963752746,0.3513157963752746,0.0
actor,9,2432,1.96,0.3569079041481018,0.3634868562221527,0.006578952074050903,0.013766270482366231,0.026981890145437813,harp,False,0.3690789341926574,0.3690789341926574,0.3690789341926574,0.3690789341926574,0.0
amazon-ratings,0,6123,1.96,0.455332338809967,0.461865097284317,0.006532758474350031,0.00900532922624606,0.017650445283442277,harp,False,0.4536991715431213,0.4581087827682495,0.4536991715431213,0.4581087827682495,0.004409611225128229
amazon-ratings,1,6123,1.96,0.4639882445335388,0.4687244892120361,0.004736244678497259,0.009015972868389928,0.01767130682204426,harp,False,0.4417769014835357,0.4605585634708404,0.4417769014835357,0.4605585634708404,0.018781661987304688
amazon-ratings,2,6123,1.96,0.454189121723175,0.4643148779869079,0.01012575626373291,0.009006031110191428,0.0176518209759752,harp,False,0.4505961239337921,0.4615384638309479,0.4505961239337921,0.4615384638309479,0.010942339897155762
amazon-ratings,3,6123,1.96,0.4569655358791351,0.4561489522457123,-0.000816583633422796,0.009002377972713277,0.017644660826518024,harp,False,0.4612118303775787,0.4494528770446777,0.4612118303775787,0.4612118303775787,0.0
amazon-ratings,4,6123,1.96,0.4817899763584137,0.4726441204547882,-0.009145855903625488,0.009026790211060605,0.017692508813678783,harp,False,0.4669279754161834,0.4546790719032287,0.4669279754161834,0.4669279754161834,0.0
amazon-ratings,5,6123,1.96,0.4636616110801697,0.4656214416027069,0.0019598305225372314,0.009013913394915637,0.017667270254034646,harp,False,0.455332338809967,0.4654580950736999,0.455332338809967,0.4654580950736999,0.01012575626373291
amazon-ratings,6,6123,1.96,0.4656214416027069,0.4656214416027069,0.0,0.009015168858564536,0.01766973096278649,harp,False,0.4582720994949341,0.4581087827682495,0.4582720994949341,0.4582720994949341,0.0
amazon-ratings,7,6123,1.96,0.4574554860591888,0.4561489522457123,-0.001306533813476507,0.009002758300753458,0.017645406269476777,harp,False,0.4532092213630676,0.4631716609001159,0.4532092213630676,0.4631716609001159,0.009962439537048284
amazon-ratings,8,6123,1.96,0.4496161937713623,0.457782119512558,0.008165925741195679,0.00899742393892137,0.017634950920285886,harp,False,0.4465131461620331,0.4639882445335388,0.4465131461620331,0.4639882445335388,0.017475098371505737
amazon-ratings,9,6123,1.96,0.4538624882698059,0.4649681448936462,0.011105656623840277,0.009006177667660797,0.01765210822861516,harp,False,0.4556590020656585,0.4585987329483032,0.4556590020656585,0.4585987329483032,0.002939730882644709
chameleon,0,729,1.96,0.5953360795974731,0.6488339900970459,0.053497910499572754,0.02535778209781235,0.04970125291171221,harp_esep,True,0.5482456088066101,0.640350878238678,0.640350878238678,0.640350878238678,0.0
chameleon,1,729,1.96,0.5377228856086731,0.6337448358535767,0.09602195024490356,0.02567842985169917,0.05032972250933037,harp_esep,True,0.5592105388641357,0.6820175647735596,0.6820175647735596,0.6820175647735596,0.0
chameleon,2,729,1.96,0.5775034427642822,0.6323730945587158,0.054869651794433594,0.02556549941258453,0.05010837884866568,harp_esep,True,0.5570175647735596,0.6162280440330505,0.6162280440330505,0.6162280440330505,0.0
chameleon,3,729,1.96,0.5733882188796997,0.6598079800605774,0.08641976118087769,0.025366330547207855,0.04971800787252739,harp_esep,True,0.6206140518188477,0.6425438523292542,0.6425438523292542,0.6425438523292542,0.0
chameleon,4,729,1.96,0.5665295124053955,0.6255143880844116,0.05898487567901611,0.025655199254403037,0.05028419053862995,harp_esep,True,0.5701754093170166,0.6425438523292542,0.6425438523292542,0.6425438523292542,0.0
chameleon,5,729,1.96,0.5637860298156738,0.6296296119689941,0.06584358215332031,0.02563668031098789,0.05024789340953626,harp_esep,True,0.5657894611358643,0.625,0.625,0.625,0.0
chameleon,6,729,1.96,0.5898491144180298,0.6694101691246033,0.07956105470657349,0.025207705923164386,0.049407103609402196,harp_esep,True,0.5263158082962036,0.6425438523292542,0.6425438523292542,0.6425438523292542,0.0
chameleon,7,729,1.96,0.547325074672699,0.6268861293792725,0.07956105470657349,0.025704350709072444,0.050380527389781986,harp_esep,True,0.5482456088066101,0.5986841917037964,0.5986841917037964,0.5986841917037964,0.0
chameleon,8,729,1.96,0.5747599601745605,0.6680384278297424,0.09327846765518188,0.025287755055165537,0.049563999908124455,harp_esep,True,0.5438596606254578,0.6359649300575256,0.6359649300575256,0.6359649300575256,0.0
chameleon,9,729,1.96,0.5582990646362305,0.6488339900970459,0.09053492546081543,0.025511224632343378,0.05000200027939302,harp_esep,True,0.5504385828971863,0.6162280440330505,0.6162280440330505,0.6162280440330505,0.0
cornell,0,59,1.96,0.8644067645072937,0.8474576473236084,-0.016949117183685303,0.06463468309880169,0.1266839788736513,harp,False,0.7297297120094299,0.7837837934494019,0.7297297120094299,0.7837837934494019,0.054054081439971924
cornell,1,59,1.96,0.7627118825912476,0.7288135886192322,-0.03389829397201538,0.08010869823151745,0.1570130485337742,harp,False,0.7567567825317383,0.5945945978164673,0.7567567825317383,0.7567567825317383,0.0
cornell,2,59,1.96,0.7627118825912476,0.6440678238868713,-0.11864405870437622,0.08338464363620365,0.16343390152695916,harp,False,0.837837815284729,0.7297297120094299,0.837837815284729,0.837837815284729,0.0
cornell,3,59,1.96,0.7627118825912476,0.7288135886192322,-0.03389829397201538,0.08010869823151745,0.1570130485337742,harp,False,0.8108108043670654,0.7567567825317383,0.8108108043670654,0.8108108043670654,0.0
cornell,4,59,1.96,0.7288135886192322,0.7118644118309021,-0.016949176788330078,0.08262205277317389,0.1619392234354208,harp,False,0.7027027010917664,0.7297297120094299,0.7027027010917664,0.7297297120094299,0.027027010917663574
cornell,5,59,1.96,0.8305084705352783,0.7796609997749329,-0.05084747076034546,0.07278408702379052,0.14265681056662943,harp,False,0.7027027010917664,0.6486486196517944,0.7027027010917664,0.7027027010917664,0.0
cornell,6,59,1.96,0.7796609997749329,0.8135592937469482,0.03389829397201538,0.07404422573417108,0.1451266824389753,harp,False,0.7567567825317383,0.6756756901741028,0.7567567825317383,0.7567567825317383,0.0
cornell,7,59,1.96,0.8474576473236084,0.8474576473236084,0.0,0.06619774775121628,0.12974758559238392,harp,False,0.7027027010917664,0.6486486196517944,0.7027027010917664,0.7027027010917664,0.0
cornell,8,59,1.96,0.8305084705352783,0.7118644118309021,-0.11864405870437622,0.07656587082142852,0.15006910680999988,harp,False,0.7297297120094299,0.6486486196517944,0.7297297120094299,0.7297297120094299,0.0
cornell,9,59,1.96,0.8135592937469482,0.8135592937469482,0.0,0.07170574742463767,0.14054326495228983,harp,False,0.7567567825317383,0.6756756901741028,0.7567567825317383,0.7567567825317383,0.0
roman-empire,0,5665,1.96,0.7676963806152344,0.7881730198860168,0.02047663927078247,0.007807197421775189,0.01530210694667937,harp_esep,True,0.7529121041297913,0.7885633707046509,0.7885633707046509,0.7885633707046509,0.0
roman-empire,1,5665,1.96,0.7722859382629395,0.7945278286933899,0.02224189043045044,0.007737002322198376,0.015164524551508816,harp_esep,True,0.7650899887084961,0.7897987961769104,0.7897987961769104,0.7897987961769104,0.0
roman-empire,2,5665,1.96,0.7583407163619995,0.7876434326171875,0.02930271625518799,0.007866060245444034,0.015417478081070307,harp_esep,True,0.7559124827384949,0.7841510772705078,0.7841510772705078,0.7841510772705078,0.0
roman-empire,3,5665,1.96,0.7639893889427185,0.7855251431465149,0.021535754203796387,0.007846553486492235,0.015379244833524779,harp_esep,True,0.7573243975639343,0.779209315776825,0.779209315776825,0.779209315776825,0.0
roman-empire,4,5665,1.96,0.7664607167243958,0.7938216924667358,0.027360975742340088,0.007777436977889907,0.015243776476664217,harp_esep,True,0.749029278755188,0.7767384648323059,0.7767384648323059,0.7767384648323059,0.0
roman-empire,5,5665,1.96,0.7643424272537231,0.7876434326171875,0.023301005363464355,0.007830782457511995,0.01534833361672351,harp_esep,True,0.7684433460235596,0.7966819405555725,0.7966819405555725,0.7966819405555725,0.0
roman-empire,6,5665,1.96,0.7625772356987,0.7888790965080261,0.026301860809326172,0.007833236077644329,0.015353142712182884,harp_esep,True,0.7624426484107971,0.7818567156791687,0.7818567156791687,0.7818567156791687,0.0
roman-empire,7,5665,1.96,0.7624006867408752,0.7879964709281921,0.025595784187316895,0.007840014503773984,0.015366428427397008,harp_esep,True,0.7567949295043945,0.7859159708023071,0.7859159708023071,0.7859159708023071,0.0
roman-empire,8,5665,1.96,0.7567520141601562,0.7911738753318787,0.03442186117172241,0.00785230137052685,0.015390510686232624,harp_esep,True,0.7587363123893738,0.7832686305046082,0.7832686305046082,0.7832686305046082,0.0
roman-empire,9,5665,1.96,0.7650485634803772,0.7904677987098694,0.025419235229492188,0.007808132959897689,0.01530394060139947,harp_esep,True,0.7497352361679077,0.7848570346832275,0.7848570346832275,0.7848570346832275,0.0
squirrel,0,1664,1.96,0.3575721085071563,0.4741586446762085,0.11658653616905218,0.016967278323345863,0.03325586551375789,harp_esep,True,0.3794428408145904,0.4678193926811218,0.4678193926811218,0.4678193926811218,0.0
squirrel,1,1664,1.96,0.3689903914928436,0.4627403914928436,0.09375,0.01700975759371815,0.03333912488368758,harp_esep,True,0.3631123900413513,0.4783861637115478,0.4783861637115478,0.4783861637115478,0.0
squirrel,2,1664,1.96,0.3701923191547394,0.4819711446762085,0.11177882552146912,0.017034060307468294,0.03338675820263785,harp_esep,True,0.380403459072113,0.4601344764232635,0.4601344764232635,0.4601344764232635,0.0
squirrel,3,1664,1.96,0.3996394276618957,0.4525240361690521,0.05288460850715643,0.01711938054168971,0.033553985861711835,harp_esep,True,0.390970230102539,0.4543707966804504,0.4543707966804504,0.4543707966804504,0.0
squirrel,4,1664,1.96,0.3774038553237915,0.4777644276618957,0.10036057233810419,0.01706315623972817,0.03344378622986721,harp_esep,True,0.3842459321022033,0.4774255454540252,0.4774255454540252,0.4774255454540252,0.0
squirrel,5,1664,1.96,0.3665865361690521,0.4801682829856872,0.11358174681663508,0.017016104339488615,0.03335156450539768,harp_esep,True,0.3506244122982025,0.4783861637115478,0.4783861637115478,0.4783861637115478,0.0
squirrel,6,1664,1.96,0.4002403914928436,0.4957932829856872,0.09555289149284363,0.01716069280155563,0.03363495789104903,harp_esep,True,0.3515850007534027,0.4610950946807861,0.4610950946807861,0.4610950946807861,0.0
squirrel,7,1664,1.96,0.3575721085071563,0.4831730723381042,0.12560096383094788,0.01697408853602527,0.03326921353060953,harp_esep,True,0.369836688041687,0.4639769494533539,0.4639769494533539,0.4639769494533539,0.0
squirrel,8,1664,1.96,0.3701923191547394,0.4663461446762085,0.09615382552146912,0.017019809301608322,0.033358826231152314,harp_esep,True,0.3477425575256347,0.444764643907547,0.444764643907547,0.444764643907547,0.0
squirrel,9,1664,1.96,0.3900240361690521,0.4675480723381042,0.07752403616905207,0.017104953169739784,0.03352570821268998,harp_esep,True,0.3477425575256347,0.4620557129383087,0.4620557129383087,0.4620557129383087,0.0
texas,0,59,1.96,0.9322034120559692,0.8305084705352783,-0.10169494152069092,0.05879645462498526,0.11524105106497111,harp,False,0.8918918967247009,0.7567567825317383,0.8918918967247009,0.8918918967247009,0.0
texas,1,59,1.96,0.9152542352676392,0.7627118825912476,-0.1525423526763916,0.06619775033783769,0.12974759066216188,harp,False,0.837837815284729,0.7567567825317383,0.837837815284729,0.837837815284729,0.0
texas,2,59,1.96,0.9322034120559692,0.7796609997749329,-0.15254241228103638,0.0631100647123822,0.12369572683626912,harp,False,0.8108108043670654,0.7567567825317383,0.8108108043670654,0.8108108043670654,0.0
texas,3,59,1.96,0.8983050584793091,0.8983050584793091,0.0,0.05564813194964004,0.10907033862129446,harp,False,0.8918918967247009,0.7297297120094299,0.8918918967247009,0.8918918967247009,0.0
texas,4,59,1.96,0.9491525292396544,0.8813559412956238,-0.06779658794403065,0.050895314878139,0.09975481716115245,harp,False,0.9189189076423644,0.7567567825317383,0.9189189076423644,0.9189189076423644,0.0
texas,5,59,1.96,0.9491525292396544,0.8474576473236084,-0.10169488191604603,0.054854999740295965,0.10751579949098009,harp,False,0.837837815284729,0.7297297120094299,0.837837815284729,0.837837815284729,0.0
texas,6,59,1.96,0.8644067645072937,0.8474576473236084,-0.016949117183685303,0.06463468309880169,0.1266839788736513,harp,False,0.9189189076423644,0.6756756901741028,0.9189189076423644,0.9189189076423644,0.0
texas,7,59,1.96,0.8644067645072937,0.8983050584793091,0.03389829397201538,0.05945526595986234,0.11653232128133019,harp,False,0.7837837934494019,0.7837837934494019,0.7837837934494019,0.7837837934494019,0.0
texas,8,59,1.96,0.9322034120559692,0.8474576473236084,-0.08474576473236084,0.05711620535327941,0.11194776249242763,harp,False,0.8648648858070374,0.7297297120094299,0.8648648858070374,0.8648648858070374,0.0
texas,9,59,1.96,0.8644067645072937,0.8305084705352783,-0.03389829397201538,0.06612415913864228,0.12960335191173886,harp,False,0.8918918967247009,0.8648648858070374,0.8918918967247009,0.8918918967247009,0.0
wisconsin,0,80,1.96,0.887499988079071,0.8999999761581421,0.012499988079071045,0.0487139325953322,0.09547930788685112,harp,False,0.8235294222831726,0.7254902124404907,0.8235294222831726,0.8235294222831726,0.0
wisconsin,1,80,1.96,0.8500000238418579,0.8125,-0.03750002384185791,0.05914428684483173,0.11592280221587019,harp,False,0.8627451062202454,0.8235294222831726,0.8627451062202454,0.8627451062202454,0.0
wisconsin,2,80,1.96,0.8999999761581421,0.8374999761581421,-0.0625,0.053161756127730025,0.10419704201035085,harp,False,0.8627451062202454,0.7843137383460999,0.8627451062202454,0.8627451062202454,0.0
wisconsin,3,80,1.96,0.887499988079071,0.8374999761581421,-0.050000011920928955,0.05430671290595359,0.10644115729566904,harp,False,0.9411764740943908,0.843137264251709,0.9411764740943908,0.9411764740943908,0.0
wisconsin,4,80,1.96,0.8374999761581421,0.762499988079071,-0.07499998807907104,0.06296700746737742,0.12341533463605973,harp,False,0.8823529481887817,0.8235294222831726,0.8823529481887817,0.8823529481887817,0.0
wisconsin,5,80,1.96,0.862500011920929,0.8374999761581421,-0.025000035762786865,0.05642334484176074,0.11058975588985104,harp,False,0.843137264251709,0.8039215803146362,0.843137264251709,0.843137264251709,0.0
wisconsin,6,80,1.96,0.875,0.862500011920929,-0.012499988079071045,0.05338173158456533,0.10462819390574804,harp,False,0.8823529481887817,0.843137264251709,0.8823529481887817,0.8823529481887817,0.0
wisconsin,7,80,1.96,0.912500023841858,0.912500023841858,0.0,0.044677659498474895,0.0875682126170108,harp,False,0.8823529481887817,0.843137264251709,0.8823529481887817,0.8823529481887817,0.0
wisconsin,8,80,1.96,0.887499988079071,0.8999999761581421,0.012499988079071045,0.0487139325953322,0.09547930788685112,harp,False,0.8627451062202454,0.8235294222831726,0.8627451062202454,0.8627451062202454,0.0
wisconsin,9,80,1.96,0.887499988079071,0.875,-0.012499988079071045,0.051139363414927225,0.10023315229325735,harp,False,0.901960790157318,0.901960790157318,0.901960790157318,0.901960790157318,0.0
