dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily
texas,h2gcn,0,1.0,0.8983050584793091,0.8648648858070374,7.809300586814061e-05,0.5860121846199036,0.7215231657028198,76,0.3777425289154053,geom_gcn,texas,0,True,183,279,0.06093189964157706
texas,h2gcn,1,1.0,0.8813559412956238,0.837837815284729,0.084282286465168,0.4536670744419098,0.5323429107666016,10,0.19472837448120117,geom_gcn,texas,1,True,183,279,0.06093189964157706
texas,h2gcn,2,1.0,0.9322034120559692,0.8108108043670654,0.0018229630077257752,0.22404532134532928,1.7218180894851685,22,0.23536276817321777,geom_gcn,texas,2,True,183,279,0.06093189964157706
texas,h2gcn,3,1.0,0.8644067645072937,0.8108108043670654,0.010787688195705414,0.4401012063026428,0.35967913269996643,25,0.24312233924865723,geom_gcn,texas,3,True,183,279,0.06093189964157706
texas,h2gcn,4,0.9885057210922241,0.9491525292396545,0.8918918967247009,0.04191887006163597,0.16837508976459503,0.5128815174102783,15,0.3545093536376953,geom_gcn,texas,4,True,183,279,0.06093189964157706
texas,h2gcn,5,1.0,0.8813559412956238,0.8918918967247009,0.007280727382749319,0.41285455226898193,0.4765302240848541,33,0.6636843681335449,geom_gcn,texas,5,True,183,279,0.06093189964157706
texas,h2gcn,6,1.0,0.8644067645072937,0.837837815284729,0.0051671480759978294,0.8629562258720398,0.28846773505210876,32,0.616889238357544,geom_gcn,texas,6,True,183,279,0.06093189964157706
texas,h2gcn,7,1.0,0.8813559412956238,0.837837815284729,0.02579968050122261,0.341800719499588,0.7142840623855591,12,0.4945714473724365,geom_gcn,texas,7,True,183,279,0.06093189964157706
texas,h2gcn,8,0.9885057210922241,0.8983050584793091,0.8108108043670654,0.06682468950748444,0.28597161173820496,0.9080033302307129,14,0.5198197364807129,geom_gcn,texas,8,True,183,279,0.06093189964157706
texas,h2gcn,9,1.0,0.8305084705352783,0.8648648858070374,0.0006524760974571109,0.9220567345619202,0.40702182054519653,59,0.8095695972442627,geom_gcn,texas,9,True,183,279,0.06093189964157706
wisconsin,h2gcn,0,0.9916666746139526,0.875,0.7647058963775635,0.02926180697977543,0.551435112953186,1.2056392431259155,15,0.6358952522277832,geom_gcn,wisconsin,0,True,251,450,0.17777777777777778
wisconsin,h2gcn,1,1.0,0.8374999761581421,0.8235294222831726,0.0003843934100586921,0.8980128169059753,0.6227247714996338,55,1.0054101943969727,geom_gcn,wisconsin,1,True,251,450,0.17777777777777778
wisconsin,h2gcn,2,0.9916666746139526,0.887499988079071,0.9019607901573181,0.020653538405895233,0.638245165348053,0.39981886744499207,18,0.706200122833252,geom_gcn,wisconsin,2,True,251,450,0.17777777777777778
wisconsin,h2gcn,3,0.9916666746139526,0.875,0.8823529481887817,0.008556867949664593,0.6301221251487732,0.26917585730552673,23,0.6951074600219727,geom_gcn,wisconsin,3,True,251,450,0.17777777777777778
wisconsin,h2gcn,4,0.9916666746139526,0.800000011920929,0.843137264251709,0.060706254094839096,0.6367477774620056,0.4425232410430908,12,0.6588208675384521,geom_gcn,wisconsin,4,True,251,450,0.17777777777777778
wisconsin,h2gcn,5,1.0,0.925000011920929,0.8235294222831726,0.0003074481210205704,0.3255860209465027,0.9344977736473083,66,1.0737390518188477,geom_gcn,wisconsin,5,True,251,450,0.17777777777777778
wisconsin,h2gcn,6,1.0,0.862500011920929,0.9019607901573181,0.0006202090298756957,0.5284937620162964,0.47203677892684937,106,1.400190830230713,geom_gcn,wisconsin,6,True,251,450,0.17777777777777778
wisconsin,h2gcn,7,1.0,0.9125000238418579,0.8627451062202454,0.0010870936093851924,0.34805920720100403,0.6272539496421814,56,1.0368866920471191,geom_gcn,wisconsin,7,True,251,450,0.17777777777777778
wisconsin,h2gcn,8,0.9916666746139526,0.887499988079071,0.8627451062202454,0.04045616835355759,0.5218905210494995,0.650886595249176,12,0.6547398567199707,geom_gcn,wisconsin,8,True,251,450,0.17777777777777778
wisconsin,h2gcn,9,1.0,0.887499988079071,0.8823529481887817,0.0001867956598289311,0.42681407928466797,0.7662450671195984,127,1.629701852798462,geom_gcn,wisconsin,9,True,251,450,0.17777777777777778
cornell,h2gcn,0,1.0,0.8644067645072937,0.7837837934494019,0.00013614077761303633,0.7145287990570068,1.3211686611175537,119,1.1908628940582275,geom_gcn,cornell,0,True,183,277,0.12274368231046931
cornell,h2gcn,1,1.0,0.7627118825912476,0.7567567825317383,0.0007184356800280511,1.1301039457321167,1.1070853471755981,63,0.8377838134765625,geom_gcn,cornell,1,True,183,277,0.12274368231046931
cornell,h2gcn,2,1.0,0.7457627058029175,0.8648648858070374,0.00031298614339902997,1.1425302028656006,1.0099704265594482,127,1.3151154518127441,geom_gcn,cornell,2,True,183,277,0.12274368231046931
cornell,h2gcn,3,0.9885057210922241,0.7288135886192322,0.7837837934494019,0.15868690609931946,0.7788872122764587,0.6919053792953491,10,0.48212122917175293,geom_gcn,cornell,3,True,183,277,0.12274368231046931
cornell,h2gcn,4,0.977011501789093,0.7457627058029175,0.7297297120094299,0.07261088490486145,0.721014142036438,0.6458863019943237,13,0.5102241039276123,geom_gcn,cornell,4,True,183,277,0.12274368231046931
cornell,h2gcn,5,0.9885057210922241,0.8135592937469482,0.7297297120094299,0.06969429552555084,0.7486053705215454,0.780809223651886,12,0.48305177688598633,geom_gcn,cornell,5,True,183,277,0.12274368231046931
cornell,h2gcn,6,1.0,0.8474576473236084,0.7297297120094299,0.0002223545452579856,0.6874384880065918,0.8437634706497192,49,0.7402052879333496,geom_gcn,cornell,6,True,183,277,0.12274368231046931
cornell,h2gcn,7,1.0,0.8813559412956238,0.7027027010917664,0.0006415178650058806,0.5925332903862,1.5097647905349731,71,0.8845670223236084,geom_gcn,cornell,7,True,183,277,0.12274368231046931
cornell,h2gcn,8,1.0,0.8305084705352783,0.7837837934494019,0.0007281214348040521,0.6200955510139465,1.2022171020507812,50,0.745105504989624,geom_gcn,cornell,8,True,183,277,0.12274368231046931
cornell,h2gcn,9,1.0,0.8474576473236084,0.7837837934494019,0.0006443331949412823,0.7028478384017944,1.3576364517211914,46,0.7395212650299072,geom_gcn,cornell,9,True,183,277,0.12274368231046931
